state,candidate,party,year,candidatevotes
Alabama,"Carter, Jimmy",1.0,1976,659170
Alabama,"Ford, Gerald",2.0,1976,504070
Alabama,"Maddox, Lester",3.0,1976,9198
Alabama,"Bubar, Benjamin """"Ben""""",3.0,1976,6669
Alabama,"Hall, Gus",3.0,1976,1954
Alabama,"Macbride, Roger",3.0,1976,1481
Alabama,Blank Vote,3.0,1976,308
Alaska,"Ford, Gerald",2.0,1976,71555
Alaska,"Carter, Jimmy",1.0,1976,44058
Alaska,"Macbride, Roger",3.0,1976,6785
Alaska,Blank Vote,3.0,1976,1176
Arizona,"Ford, Gerald",2.0,1976,418642
Arizona,"Carter, Jimmy",1.0,1976,295602
Arizona,"McCarthy, Eugene """"Gene""""",3.0,1976,19229
Arizona,"Macbride, Roger",3.0,1976,7647
Arizona,"Camejo, Peter",3.0,1976,928
Arizona,"Anderson, Thomas J.",3.0,1976,564
Arizona,"Maddox, Lester",3.0,1976,85
Arizona,Blank Vote,3.0,1976,22
Arkansas,"Carter, Jimmy",1.0,1976,498604
Arkansas,"Ford, Gerald",2.0,1976,267903
Arkansas,Blank Vote,3.0,1976,639
Arkansas,"Maddox, Lester",3.0,1976,389
California,"Ford, Gerald",2.0,1976,3882244
California,"Carter, Jimmy",1.0,1976,3742284
California,"Macbride, Roger",3.0,1976,56388
California,"Maddox, Lester",3.0,1976,51098
California,"Wright, Margaret",3.0,1976,41731
California,"Camejo, Peter",3.0,1976,17259
California,"Hall, Gus",3.0,1976,12766
Colorado,"Ford, Gerald",2.0,1976,584278
Colorado,"Carter, Jimmy",1.0,1976,460801
Colorado,"McCarthy, Eugene """"Gene""""",3.0,1976,26047
Colorado,"Macbride, Roger",3.0,1976,5338
Colorado,"Bubar, Benjamin """"Ben""""",3.0,1976,2886
Colorado,"Camejo, Peter",3.0,1976,1122
Colorado,"Larouche, Lyndon, Jr.",3.0,1976,565
Colorado,"Hall, Gus",3.0,1976,403
Connecticut,"Ford, Gerald",2.0,1976,719261
Connecticut,"Carter, Jimmy",1.0,1976,647895
Connecticut,Scattering,3.0,1976,10309
Connecticut,"Maddox, Lester",3.0,1976,7101
Connecticut,"Larouche, Lyndon, Jr.",3.0,1976,1789
Delaware,"Carter, Jimmy",1.0,1976,122461
Delaware,"Ford, Gerald",2.0,1976,109780
Delaware,Blank Vote,3.0,1976,2432
Delaware,"Anderson, Thomas J.",3.0,1976,645
Delaware,"Larouche, Lyndon, Jr.",3.0,1976,135
Delaware,"Bubar, Benjamin """"Ben""""",3.0,1976,103
Delaware,Blank Vote,3.0,1976,86
District of Columbia,"Carter, Jimmy",1.0,1976,137818
District of Columbia,"Ford, Gerald",2.0,1976,27873
District of Columbia,Other,3.0,1976,1656
District of Columbia,Blank Vote,3.0,1976,1195
District of Columbia,Blank Vote,3.0,1976,288
Florida,"Carter, Jimmy",1.0,1976,1636000
Florida,"Ford, Gerald",2.0,1976,1469531
Florida,"McCarthy, Eugene """"Gene""""",3.0,1976,23643
Florida,"Anderson, Thomas J.",3.0,1976,21325
Florida,Blank Vote,3.0,1976,132
Georgia,"Carter, Jimmy",1.0,1976,979409
Georgia,"Ford, Gerald",2.0,1976,483743
Hawaii,"Carter, Jimmy",1.0,1976,147375
